,id,Name,Pos,Ht,Wt,Team
36,beaslma01,Malik Beasley,G,193.04,84.82,MIN/DEN
37,belinma01,Marco Belinelli,G-F,195.58,99.79,SAS
38,belljo01,Jordan Bell,F,203.2,97.98,MIN/MEM
39,bembrde01,DeAndre' Bembry,F,195.58,95.25,ATL
40,bendedr01,Dragan Bender,F,213.36,102.06,MIL/GSW
41,bertada01,Dāvis Bertāns,F,208.28,102.06,WAS
42,beverpa01,Patrick Beverley,G,185.42,81.65,LAC
43,birchkh01,Khem Birch,C-F,205.74,105.69,ORL
44,bitadgo01,Goga Bitadze,C,210.82,113.4,IND
45,biyombi01,Bismack Biyombo,C-F,203.2,115.67,CHO
46,bjeline01,Nemanja Bjelica,F,208.28,106.14,SAC
47,bledser01,Eric Bledsoe,G,185.42,97.07,MIL
48,bogdabo01,Bogdan Bogdanović,G,198.12,99.79,SAC
49,bogdabo02,Bojan Bogdanović,G-F,200.66,102.51,UTA
50,bolbo01,Bol Bol,F-C,218.44,99.79,DEN
51,boldejo01,Jonah Bolden,F,203.2,99.79,PHI/PHO
52,boldema01,Marques Bolden,C,208.28,112.94,CLE
53,bonejo01,Jordan Bone,G,187.96,81.65,DET
54,bongais01,Isaac Bonga,G,203.2,81.65,WAS
55,bookede01,Devin Booker,G,195.58,93.44,PHO
56,bouchch01,Chris Boucher,F,205.74,90.72,TOR
57,bowenbr02,Brian Bowen,F,198.12,86.18,IND
58,bowmaky01,Ky Bowman,G,185.42,84.82,GSW
59,bradlav01,Avery Bradley,G,190.5,81.65,LAL
60,bradlto01,Tony Bradley,F-C,208.28,112.49,UTA
61,brantja01,Jarrell Brantley,F,195.58,113.4,UTA
62,brazdig01,Ignas Brazdeikis,F,198.12,100.24,NYK
63,breweco01,Corey Brewer,F-G,205.74,84.37,SAC
64,bridgmi01,Mikal Bridges,G,198.12,94.8,PHO
65,bridgmi02,Miles Bridges,G-F,198.12,102.06,CHO
66,brissos01,Oshae Brissett,F,200.66,95.25,TOR
67,broekry01,Ryan Broekhoff,F,198.12,97.52,DAL
68,brogdma01,Malcolm Brogdon,G,195.58,103.87,IND
69,brookdi01,Dillon Brooks,F-G,200.66,102.06,MEM
70,brownbr01,Bruce Brown,G,193.04,91.63,DET
71,brownch02,Charlie Brown,G,198.12,90.26,ATL
72,brownja02,Jaylen Brown,F-G,198.12,101.15,BOS
73,brownmo01,Moses Brown,C,218.44,111.13,POR
